WB10.BHZ.AU.--,-19.7671,134.3928,362.00,-0.65885639,0.67297115,-0.33618164,211
KIWB.EHZ.AV.--,51.8520,-177.1528,244.00,-0.61950491,-0.03081043,0.78438791,35
CLES.BHZ.AV.--,52.8235,-169.8951,146.00,-0.59744583,-0.10647403,0.79480926,51
AMKA.BHZ.AV.--,51.3771,179.3000,116.00,-0.62671373,0.00765713,0.77921195,65
ILSW.BHZ.AV.--,59.9832,-153.1425,1318.00,-0.44855200,-0.22714522,0.86441087,244
GSTR.EHZ.AV.--,52.0932,-176.0611,536.00,-0.61550039,-0.04238045,0.78699629,117
RSO.EHZ.AV.--,60.4616,-152.7560,1921.00,-0.44055522,-0.22684248,0.86859288,1245
CBX.HHZ.BC.--,32.3131,-116.6636,1250.00,-0.37998576,-0.75671484,0.53197132,277
CPX.HHZ.BC.--,32.4195,-115.3050,192.00,-0.36151571,-0.76461968,0.53353832,559
GUVIX.HHZ.BC.--,32.3029,-115.0760,10.00,-0.35891490,-0.76703750,0.53182100,992
PIX.HHZ.BC.--,31.5629,-113.4599,77.80,-0.33983803,-0.78307224,0.52087234,242
TJX.HHZ.BC.--,32.5102,-117.0543,210.00,-0.38430484,-0.75247690,0.53487224,50
TKX.HHZ.BC.--,32.5687,-116.6075,541.00,-0.37818108,-0.75496332,0.53573263,10634
SFX.HHZ.BC.--,31.0376,-114.8510,39.00,-0.36073410,-0.77887859,0.51304878,105
CCX.HHZ.BC.--,31.8679,-116.6645,36.60,-0.38183525,-0.76036951,0.52539513,548
UABX.HHZ.BC.--,32.6316,-115.4447,44.30,-0.36253033,-0.76195236,0.53665665,322
RMX.HHZ.BC.--,32.5535,-116.0288,1278.00,-0.37059880,-0.75887178,0.53550924,609
VTX.HHZ.BC.--,31.3914,-115.7840,746.00,-0.37198812,-0.77004309,0.51832276,2013
SJX.HHZ.BC.--,32.0048,-115.9480,1616.00,-0.37174879,-0.76395692,0.52742076,1098
JCC.BHZ.BK.00,40.8175,-124.0296,27.20,-0.42473617,-0.62899727,0.65112335,86
SAO.BHZ.BK.00,36.7640,-121.4472,314.20,-0.41895482,-0.68508791,0.59592904,110
HUMO.BHZ.BK.00,42.6071,-122.9567,504.90,-0.40162999,-0.61948061,0.67449027,171
ORV.BHZ.BK.00,39.5545,-121.5004,331.70,-0.40395963,-0.65919291,0.63425651,357
MCCM.BHZ.BK.00,38.1448,-122.8802,-11.70,-0.42804803,-0.66216366,0.61507249,90
MOD.BHZ.BK.00,41.9025,-120.3029,1549.50,-0.37667179,-0.64452033,0.66536600,59
YBH.BHZ.BK.00,41.7320,-122.7104,999.30,-0.40447952,-0.62979036,0.66314434,220
CMB.BHZ.BK.00,38.0346,-120.3865,695.00,-0.39942945,-0.68117842,0.61355691,358
HOPS.BHZ.BK.00,38.9935,-123.0723,296.10,-0.42525528,-0.65302917,0.62666646,173
AQDB.HHZ.BL.--,-20.4758,-55.6997,158.00,0.52835983,-0.77453812,-0.34774502,212
TRCB.HHZ.BL.--,-22.7946,-52.6357,490.00,0.56004678,-0.73345721,-0.38521179,2074
ITAB.HHZ.BL.--,-27.2349,-52.1313,459.00,0.54656835,-0.70288979,-0.45520212,106
ITQB.HHZ.BL.--,-29.6638,-56.6275,95.00,0.47877530,-0.72685974,-0.49239124,88
PLTB.HHZ.BL.--,-31.7637,-53.6044,412.00,0.50542674,-0.68565564,-0.52385127,90
PTLB.HHZ.BR.--,-15.4487,-59.1368,72.00,0.49469109,-0.82777335,-0.26471119,253
BOAV.HHZ.BR.--,2.3953,-60.5225,114.00,0.49165754,-0.86979855,0.04151320,97
MACA.HHZ.BR.--,-3.1615,-60.6838,75.00,0.48889378,-0.87062157,-0.05478093,357
CZSB.HHZ.BR.--,-7.7299,-72.7049,196.00,0.29462748,-0.94622493,-0.13361525,1105
VILB.HHZ.BR.--,-12.9528,-60.2002,434.00,0.48448866,-0.84597173,-0.22271634,267
TBTG.HHZ.BR.--,-4.1868,-69.9090,91.00,0.34260769,-0.93667539,-0.07252018,660
ETMB.HHZ.BR.--,-9.8168,-66.2137,196.00,0.39749868,-0.90183326,-0.16938585,490
GO03.BHZ.C.--,-27.5937,-70.2347,730.00,0.30013473,-0.83524309,-0.46074735,508
GO10.BHZ.C.--,-53.1546,-71.0498,652.00,0.19557766,-0.56960660,-0.79830927,27
FAR1.BHZ.C.--,-33.3377,-70.2994,2770.00,0.28220478,-0.78814138,-0.54698594,3150
GO09.BHZ.C.--,-51.2707,-72.3381,372.00,0.19059816,-0.59859696,-0.77804500,131
LMEL.BHZ.C.--,-33.8476,-70.2075,1536.00,0.28181343,-0.78308851,-0.55439478,2065
GO05.BHZ.C.--,-35.0099,-71.9303,488.00,0.25461085,-0.78038014,-0.57112184,350
GO02.BHZ.C.--,-25.1626,-69.5904,2550.00,0.31601940,-0.84931497,-0.42284254,1217
GO04.BHZ.C.--,-30.1727,-70.7993,2076.00,0.28480239,-0.81780889,-0.50007621,501
GO08.BHZ.C.--,-48.4648,-72.5566,1000.00,0.19951769,-0.63497579,-0.74632328,99
GO07.BHZ.C.--,-43.1142,-73.6644,178.00,0.20596566,-0.70272649,-0.68099459,597
GO06.BHZ.C.--,-39.5839,-71.4720,1258.00,0.24557041,-0.73274238,-0.63465249,255
GO01.BHZ.C.--,-19.6685,-69.1942,3809.00,0.33473179,-0.88091902,-0.33456885,1616
BRIGG.HHZ.C0.00,40.5813,-104.3192,1479.00,-0.18837351,-0.73798433,0.64799271,954
AC01.BHZ.C1.--,-26.1479,-70.5987,346.00,0.29857558,-0.84778990,-0.43829774,360
VA01.BHZ.C1.--,-33.0229,-71.6374,2.00,0.26466465,-0.79734866,-0.54239076,546
LL01.BHZ.C1.--,-42.3787,-72.4125,62.00,0.22389140,-0.70632975,-0.67154368,886
LL03.BHZ.C1.--,-41.1384,-72.4034,227.00,0.22834266,-0.71997377,-0.65536051,252
AY01.BHZ.C1.--,-44.4209,-72.6480,9.00,0.21371133,-0.68396242,-0.69751192,4
MT09.BHZ.C1.--,-33.7762,-70.9887,1371.00,0.27133514,-0.78750856,-0.55336020,692
MT01.BHZ.C1.--,-33.8641,-71.2509,310.00,0.26745565,-0.78793960,-0.55463382,775
