
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
BVA2      53.01890     70.39120     .434 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVA3      53.02680     70.37850     .437 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVA4      53.02900     70.39630     .405 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVAR      53.02490     70.38850     .420 ar      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVB5      53.02470     70.36620     .387 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVB6      53.03610     70.37620     .401 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVB7      53.03790     70.39500     .435 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVB8      53.02160     70.41080     .419 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVB9      53.01241     70.38356     .418 ss      2010012         -1 BOROVOYE ARRAY, Kazakhstan
BVB9      53.01230     70.38570     .512 ss      2002187    2010011 BOROVOYE ARRAY, Kazakhstan
CD01        .00000       .00000     .000 ar      2000001         -1 CD synthetic data
CFAA     -31.60475    -68.23756     .619 ss      2002344         -1 CORONEL FONTANA, ARGENTINA
CM01      18.42066     98.95905     .295 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM01, Thailand
CM02      18.43437     98.94682     .310 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM02, Thailand
CM03      18.42630     98.97649     .308 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM03, Thailand
CM04      18.39966     98.97914     .349 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM04, Thailand
CM05      18.40137     98.94534     .341 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM05, Thailand
CM06      18.41567     98.94089     .336 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM06, Thailand
CM07      18.43376     98.93067     .307 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM07, Thailand
CM08      18.44533     98.95791     .303 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM08, Thailand
CM09      18.44386     98.99103     .350 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM09, Thailand
CM10      18.42978     99.00212     .345 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM10, Thailand
CM11      18.37565     98.96061     .324 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM11, Thailand
CM12      18.40604     98.92569     .334 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM12, Thailand
CM13      18.42123     98.90712     .324 ss      1986181         -1 CHIANG MAI ARRAY ELEMENT CM13, Thailand
